4;1;3;1;3;1;4;4;4;1;0;0;0;5;1;3;4;3;1;5;4;3;1;0;0;0;3;1;5;4;3;1;5;4;4;1;0;0;0;5;5;3;2;3;1;5;4;4;1;0;0;0;5;5;4;1;3;1;5;4;5;4;0;0;0;5;3;3;1;3;1;5;4;4;1;1;1;0;2;4;2;1;3;1;3;4;4;1;0;1;0;5;1;3;1;3;1;4;4;4;3;1;1;1;5;3;5;1;3;1;5;5;4;1;1;1;0;5;1;5;1;3;1;4;4;2;2;0;0;1;3;1;3;1;3;1;4;1;2;1;1;1;0;4;1;5;1;3;1;2;4;3;1;0;0;0;5;1;1;1;3;1;2;4;4;1;0;1;0;4;3;3;1;3;1;5;4;3;1;0;1;0;1;4;2;1;3;1;5;4;3;1;1;0;0;5;1;3;1;5;5;4;5;4;1;1;0;1;5;4;3;1;3;1;2;4;3;1;0;0;1;1;1;3;1;4;3;4;2;3;1;0;1;1;1;1;1;5;3;2;2;2;140.0;163.0;0.462046205
5;1;3;1;3;2;4;4;3;1;0;0;1;3;5;3;5;5;3;4;4;3;5;0;0;0;3;1;3;1;3;1;1;3;4;1;0;0;0;3;4;4;2;3;1;5;4;4;1;1;1;1;4;1;1;5;1;1;2;4;3;1;0;0;0;3;3;3;1;3;5;1;4;4;2;1;0;0;5;1;3;1;3;1;5;4;4;1;0;1;0;3;2;3;1;3;1;2;4;4;1;1;0;0;5;1;5;1;3;1;5;4;3;2;1;1;0;5;1;5;1;4;1;5;3;3;4;0;0;1;3;1;5;3;3;1;4;4;3;1;1;1;0;2;4;5;1;3;4;5;4;3;2;0;1;0;5;1;5;1;3;4;4;4;3;5;0;0;1;4;1;5;1;3;1;4;4;5;1;0;0;0;5;3;2;1;5;1;5;4;3;1;0;0;0;1;4;5;1;3;1;5;4;4;1;0;1;1;3;4;3;1;3;1;5;4;3;1;0;0;1;5;1;5;2;3;1;4;4;3;4;0;1;0;1;1;2;5;2;1;4;1;146.0;178.0;0.450617284
5;1;3;1;3;1;4;4;3;1;0;0;1;3;5;3;5;3;1;4;4;3;1;0;0;0;2;1;5;1;3;1;5;3;4;1;0;0;0;5;1;3;2;3;1;5;4;4;1;1;0;0;5;1;4;5;3;1;4;4;3;1;0;0;0;3;3;3;1;3;1;4;4;3;2;1;0;0;5;1;3;1;3;1;5;4;4;1;0;1;0;3;2;3;2;3;1;2;4;4;4;0;0;0;5;1;3;3;3;4;5;4;4;1;0;1;0;5;1;5;1;4;1;5;4;3;1;0;0;1;3;1;5;4;3;1;4;4;3;1;1;1;0;2;1;5;1;3;4;5;4;4;1;0;1;0;5;1;5;1;4;4;4;4;4;1;0;0;1;5;1;5;1;3;1;4;4;5;1;0;0;0;5;3;5;1;5;1;5;4;3;1;0;0;0;5;5;5;1;3;1;5;5;3;4;1;0;1;3;1;2;1;5;1;5;4;4;1;1;0;1;4;1;5;1;3;1;4;4;3;1;1;1;0;1;1;2;5;2;2;3;1;171.0;159.0;0.518181818
4;1;3;1;3;1;5;1;4;1;1;0;0;3;1;5;4;3;1;5;4;4;1;0;0;0;3;3;5;4;2;1;5;4;4;1;0;0;0;5;1;3;2;3;1;5;4;3;1;1;1;0;5;5;5;5;3;1;5;4;4;1;0;0;1;3;3;4;5;3;1;5;4;4;1;1;0;1;5;5;2;2;4;1;3;4;3;1;0;1;1;5;1;3;1;3;1;5;4;4;1;1;1;0;5;3;5;5;3;1;5;4;2;1;1;1;0;5;1;5;1;3;1;5;5;3;1;0;0;1;5;1;3;1;3;1;4;4;2;1;1;1;0;3;1;2;1;3;1;2;5;3;3;1;0;0;5;1;1;1;4;1;2;5;4;1;0;1;0;5;1;2;1;3;1;5;4;3;1;0;1;0;5;4;5;1;3;1;5;4;3;1;1;0;0;5;1;3;1;3;5;4;3;4;1;1;0;1;5;4;3;3;3;1;2;4;3;1;1;0;1;1;4;3;1;4;2;4;2;3;1;0;1;1;1;1;2;5;2;2;3;2;166.0;168.0;0.497005988
5;1;3;1;3;2;4;4;3;1;0;0;1;3;5;3;5;5;3;4;4;3;5;0;0;0;3;1;3;1;3;1;1;3;4;1;0;0;0;3;4;4;2;3;1;5;4;4;1;1;1;1;4;1;1;5;1;1;2;4;3;1;0;0;0;3;3;3;1;3;5;1;4;4;2;1;0;0;5;1;3;1;3;1;5;4;4;1;0;1;0;3;2;3;1;3;1;2;4;4;1;1;0;0;5;1;5;1;3;1;5;4;3;2;1;1;0;5;1;5;1;4;1;5;3;3;4;0;0;1;3;1;5;3;3;1;4;4;3;1;1;1;0;2;4;5;1;3;4;5;4;3;2;0;1;0;5;1;5;1;3;4;4;4;3;5;0;0;1;4;1;5;1;3;1;4;4;5;1;0;0;0;5;3;2;1;5;1;5;4;3;1;0;0;0;1;4;5;1;3;1;5;4;4;1;0;1;1;3;4;3;1;3;1;5;4;3;1;0;0;1;5;1;5;2;3;1;4;4;3;4;0;1;0;1;1;2;5;2;1;4;1;136.0;186.0;0.422360248
5;1;3;1;3;1;5;4;4;4;1;0;1;3;1;3;1;3;1;5;4;3;3;1;0;1;3;1;5;1;3;1;4;4;4;3;0;0;0;3;1;5;1;3;1;5;3;4;1;0;0;0;5;1;5;1;3;1;5;4;4;1;0;0;0;5;1;3;1;3;1;4;4;4;3;1;0;0;5;1;3;1;3;1;5;4;4;3;0;1;0;5;1;3;1;3;1;4;4;4;1;1;0;0;5;1;3;1;3;1;5;4;3;1;1;1;0;5;1;5;1;4;1;1;4;3;5;0;1;0;3;1;2;1;2;1;1;4;3;1;1;1;0;2;1;5;1;2;4;4;4;3;1;1;0;1;3;5;5;1;3;1;5;4;4;1;0;1;0;4;1;3;4;3;4;4;4;3;1;0;0;0;5;1;3;1;3;1;5;4;3;5;1;0;0;5;4;5;1;3;1;5;4;4;1;1;0;1;5;1;5;5;3;1;5;4;3;1;1;0;0;5;1;5;4;3;1;4;4;3;1;0;1;1;1;1;2;5;2;1;3;1;160.0;166.0;0.490797546
4;1;3;2;2;1;4;4;4;1;0;0;0;3;1;2;1;3;1;5;4;3;1;1;0;0;4;1;5;1;3;1;4;4;5;1;0;0;0;5;1;3;1;3;1;5;4;3;1;0;0;0;5;1;5;5;3;1;5;4;3;1;0;0;1;3;1;3;1;3;4;4;4;3;1;1;0;0;5;5;5;2;3;1;4;4;3;1;0;1;1;5;1;5;3;3;1;5;4;4;1;1;0;0;1;3;1;1;3;1;5;4;3;1;1;1;0;5;1;5;1;4;1;4;4;3;1;0;0;0;3;1;3;1;3;1;5;1;2;1;1;1;0;3;1;3;1;4;4;2;5;3;1;1;1;0;5;1;1;1;3;1;5;4;4;1;0;1;1;5;1;3;1;3;1;5;4;4;1;0;1;0;5;1;3;5;3;1;5;4;3;1;0;0;0;1;4;5;1;3;5;5;4;4;1;1;0;1;5;1;5;1;3;1;2;4;3;1;1;0;1;5;1;3;1;5;1;4;4;4;1;1;1;1;1;1;2;5;2;2;3;2;163.0;157.0;0.509375
5;1;3;1;3;1;5;4;3;4;0;1;0;4;1;5;1;4;1;4;4;3;3;1;0;0;2;1;5;1;3;1;5;4;4;5;0;0;0;5;1;3;1;3;1;2;4;3;1;1;0;0;5;1;1;1;3;1;5;4;4;1;0;0;0;3;3;3;1;3;1;4;4;4;1;0;0;0;5;1;5;1;3;1;5;3;3;1;0;1;0;3;1;3;2;3;1;4;4;4;4;0;0;1;5;1;1;3;3;1;5;4;3;1;1;1;0;5;1;3;1;3;1;5;4;3;1;0;0;1;5;5;3;1;5;1;4;3;3;1;0;0;0;2;1;5;1;4;5;5;5;3;2;1;1;0;5;1;5;1;3;1;5;4;3;2;0;1;1;5;1;5;1;3;1;5;4;3;1;0;1;0;5;3;2;1;5;1;4;4;5;1;0;0;0;5;1;1;1;3;1;5;4;4;4;1;0;1;5;1;3;1;5;4;5;4;4;2;0;0;0;5;1;5;1;4;1;4;4;3;1;1;1;0;1;1;2;5;2;2;3;2;157.0;164.0;0.489096573
5;1;3;1;3;1;5;4;4;1;0;0;0;3;1;3;5;3;4;5;4;3;1;0;0;0;3;1;3;1;3;4;5;3;4;1;0;0;0;5;1;5;2;3;1;5;4;3;1;0;0;0;5;1;5;5;3;1;5;4;3;1;0;0;0;5;1;3;1;3;1;4;4;4;2;0;0;0;5;1;5;1;2;5;3;4;4;1;0;1;1;3;1;5;1;3;1;1;4;4;1;0;0;0;5;3;1;1;3;1;5;4;3;1;1;1;0;5;1;3;3;4;1;5;4;5;3;1;1;1;3;1;5;4;3;1;5;3;3;1;1;0;0;3;1;5;1;3;4;4;5;3;1;1;0;0;5;1;5;1;3;1;5;4;3;4;0;1;1;5;1;3;4;1;1;5;4;5;1;0;1;0;5;5;5;1;3;1;5;3;3;3;0;0;1;5;1;5;5;3;1;4;4;4;1;0;0;1;5;4;3;1;3;1;5;4;4;1;1;0;0;5;1;5;1;3;5;5;4;4;1;1;1;0;4;1;1;4;2;2;3;1;154.0;162.0;0.487341772
4;1;3;1;3;1;4;4;4;1;0;0;0;5;1;3;4;3;1;5;4;3;1;0;0;0;3;1;5;4;3;1;5;4;4;1;0;0;0;5;5;3;2;3;1;5;4;4;1;0;0;0;5;5;4;1;3;1;5;4;5;4;0;0;0;5;3;3;1;3;1;5;4;4;1;1;1;0;2;4;2;1;3;1;3;4;4;1;0;1;0;5;1;3;1;3;1;4;4;4;3;1;1;1;5;3;5;1;3;1;5;5;4;1;1;1;0;5;1;5;1;3;1;4;4;2;2;0;0;1;3;1;3;1;3;1;4;1;2;1;1;1;0;4;1;5;1;3;1;2;4;3;1;0;0;0;5;1;1;1;3;1;2;4;4;1;0;1;0;4;3;3;1;3;1;5;4;3;1;0;1;0;1;4;2;1;3;1;5;4;3;1;1;0;0;5;1;3;1;5;5;4;5;4;1;1;0;1;5;4;3;1;3;1;2;4;3;1;0;0;1;1;1;3;1;4;3;4;2;3;1;0;1;1;1;1;1;5;3;2;2;2;131.0;165.0;0.442567568
